issue_key,file_path,file,rule,message,line,type,effort,impact_severity,impact_quality,rank,llm_reasoning
AZ4HYWhbUdMD1-xUpqpu,hibernate-c3p0/src/main/java/org/hibernate/c3p0/internal/C3P0ConnectionProvider.java,C3P0ConnectionProvider.java,java:S2095,"Use try-with-resources or close this ""Connection"" in a ""finally"" clause.",71.0,BUG,5min,HIGH,RELIABILITY,1,
AZ4HYWbHUdMD1-xUpqjf,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/AltibaseDialect.java,AltibaseDialect.java,java:S3776,Refactor this method to reduce its Cognitive Complexity from 17 to the 15 allowed.,342.0,CODE_SMELL,7min,HIGH,MAINTAINABILITY,2,
AZ4HYWXaUdMD1-xUpqgE,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/CockroachLegacyDialect.java,CockroachLegacyDialect.java,java:S1192,"Define a constant instead of duplicating this literal ""string"" 3 times.",205.0,CODE_SMELL,8min,HIGH,MAINTAINABILITY,3,
AZ4HYWXaUdMD1-xUpqgI,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/CockroachLegacyDialect.java,CockroachLegacyDialect.java,java:S131,Add a default case to this switch.,226.0,CODE_SMELL,5min,HIGH,MAINTAINABILITY,4,
AZ4HYWXaUdMD1-xUpqgJ,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/CockroachLegacyDialect.java,CockroachLegacyDialect.java,java:S131,Add a default case to this switch.,269.0,CODE_SMELL,5min,HIGH,MAINTAINABILITY,5,
AZ4HYWXaUdMD1-xUpqgK,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/CockroachLegacyDialect.java,CockroachLegacyDialect.java,java:S131,Add a default case to this switch.,271.0,CODE_SMELL,5min,HIGH,MAINTAINABILITY,6,
AZ4HYWXaUdMD1-xUpqgL,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/CockroachLegacyDialect.java,CockroachLegacyDialect.java,java:S131,Add a default case to this switch.,322.0,CODE_SMELL,5min,HIGH,MAINTAINABILITY,7,
AZ4HYWaiUdMD1-xUpqi9,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/CommunityDialectSelector.java,CommunityDialectSelector.java,java:S131,Add a default case to this switch.,22.0,CODE_SMELL,5min,HIGH,MAINTAINABILITY,8,
AZ4HYWYnUdMD1-xUpqhA,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/DB2LegacyDialect.java,DB2LegacyDialect.java,java:S1192,"Define a constant instead of duplicating this literal ""date '"" 3 times.",564.0,CODE_SMELL,8min,HIGH,MAINTAINABILITY,9,
AZ4HYWYnUdMD1-xUpqhC,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/DB2LegacyDialect.java,DB2LegacyDialect.java,java:S1192,"Define a constant instead of duplicating this literal ""time '"" 3 times.",569.0,CODE_SMELL,8min,HIGH,MAINTAINABILITY,10,
AZ4HYWYnUdMD1-xUpqhB,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/DB2LegacyDialect.java,DB2LegacyDialect.java,java:S1192,"Define a constant instead of duplicating this literal ""timestamp '"" 3 times.",574.0,CODE_SMELL,8min,HIGH,MAINTAINABILITY,11,
AZ4HYWWNUdMD1-xUpqfV,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/DB2LegacySqlAstTranslator.java,DB2LegacySqlAstTranslator.java,java:S1192,"Define a constant instead of duplicating this literal ""xmlserialize("" 8 times.",388.0,CODE_SMELL,18min,HIGH,MAINTAINABILITY,12,
AZ4HYWXUUdMD1-xUpqf8,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/HSQLLegacyDialect.java,HSQLLegacyDialect.java,java:S128,"End this switch case with an unconditional break, return or throw statement.",384.0,CODE_SMELL,10min,HIGH,MAINTAINABILITY,13,
AZ4HYWalUdMD1-xUpqi_,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/MySQLLegacySqlAstTranslator.java,MySQLLegacySqlAstTranslator.java,java:S3776,Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.,147.0,CODE_SMELL,6min,HIGH,MAINTAINABILITY,14,
AZ4HYWYGUdMD1-xUpqgj,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/OracleLegacyDialect.java,OracleLegacyDialect.java,java:S115,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,169.0,CODE_SMELL,2min,HIGH,MAINTAINABILITY,15,
