issue_key,file_path,file,rule,message,line,type,effort,impact_severity,impact_quality,rank,llm_reasoning
AZ4INX54UdMD1-xUqsBJ,lib/sqlalchemy/connectors/pyodbc.py,pyodbc.py,python:S3776,Refactor this function to reduce its Cognitive Complexity from 36 to the 15 allowed.,62,CODE_SMELL,26min,HIGH,MAINTAINABILITY,1,
AZ4INX28UdMD1-xUqr7f,lib/sqlalchemy/dialects/mssql/base.py,base.py,python:S1845,"Rename field ""visit_DATETIME"" to prevent any misunderstanding/clash with method ""visit_datetime"" defined on line 1698",1702,CODE_SMELL,10min,HIGH,MAINTAINABILITY,2,
AZ4INX28UdMD1-xUqr7g,lib/sqlalchemy/dialects/mssql/base.py,base.py,python:S1845,"Rename method ""visit_TEXT"" to prevent any misunderstanding/clash with method ""visit_text"" defined on line 1724",1739,CODE_SMELL,10min,HIGH,MAINTAINABILITY,3,
AZ4INX28UdMD1-xUqr7h,lib/sqlalchemy/dialects/mssql/base.py,base.py,python:S1845,"Rename field ""visit_DATE"" to prevent any misunderstanding/clash with method ""visit_date"" defined on line 1754",1758,CODE_SMELL,10min,HIGH,MAINTAINABILITY,4,
AZ4INX28UdMD1-xUqr7i,lib/sqlalchemy/dialects/mssql/base.py,base.py,python:S1845,"Rename method ""visit_time"" to prevent any misunderstanding/clash with method ""visit_TIME"" defined on line 1685",1763,CODE_SMELL,10min,HIGH,MAINTAINABILITY,5,
AZ4INX28UdMD1-xUqr7l,lib/sqlalchemy/dialects/mssql/base.py,base.py,python:S3776,Refactor this function to reduce its Cognitive Complexity from 20 to the 15 allowed.,2533,CODE_SMELL,10min,HIGH,MAINTAINABILITY,6,
AZ4INX21UdMD1-xUqr7X,lib/sqlalchemy/dialects/mssql/pyodbc.py,pyodbc.py,secrets:S6703,Make sure this database password gets changed and removed from the code.,35,VULNERABILITY,30min,HIGH,SECURITY,7,
AZ4INX4IUdMD1-xUqr9-,lib/sqlalchemy/dialects/mysql/aiomysql.py,aiomysql.py,python:S1186,"Add a nested comment explaining why this method is empty, or complete the implementation.",118,CODE_SMELL,5min,HIGH,MAINTAINABILITY,8,
AZ4INX4IUdMD1-xUqr-I,lib/sqlalchemy/dialects/mysql/aiomysql.py,aiomysql.py,python:S1186,"Add a nested comment explaining why this method is empty, or complete the implementation.",274,CODE_SMELL,5min,HIGH,MAINTAINABILITY,9,
AZ4INX4IUdMD1-xUqr-J,lib/sqlalchemy/dialects/mysql/aiomysql.py,aiomysql.py,python:S1186,"Add a nested comment explaining why this method is empty, or complete the implementation.",278,CODE_SMELL,5min,HIGH,MAINTAINABILITY,10,
AZ4INX4IUdMD1-xUqr-L,lib/sqlalchemy/dialects/mysql/aiomysql.py,aiomysql.py,python:S2638,Add missing parameters _translate_args.,312,CODE_SMELL,15min,HIGH,MAINTAINABILITY,11,
AZ4INX4RUdMD1-xUqr-T,lib/sqlalchemy/dialects/mysql/asyncmy.py,asyncmy.py,python:S1186,"Add a nested comment explaining why this method is empty, or complete the implementation.",119,CODE_SMELL,5min,HIGH,MAINTAINABILITY,12,
AZ4INX4RUdMD1-xUqr-a,lib/sqlalchemy/dialects/mysql/asyncmy.py,asyncmy.py,python:S1845,"Rename field ""Binary"" to prevent any misunderstanding/clash with field ""BINARY"" defined on line 267",270,CODE_SMELL,10min,HIGH,MAINTAINABILITY,13,
AZ4INX4RUdMD1-xUqr-e,lib/sqlalchemy/dialects/mysql/asyncmy.py,asyncmy.py,python:S2638,Add missing parameters _translate_args.,314,CODE_SMELL,15min,HIGH,MAINTAINABILITY,14,
AZ4INX3_UdMD1-xUqr9w,lib/sqlalchemy/dialects/mysql/base.py,base.py,secrets:S6697,Make sure this MySQL database password gets changed and removed from the code.,218,VULNERABILITY,30min,HIGH,SECURITY,15,
