issue_key,file_path,file,rule,message,line,type,effort,impact_severity,impact_quality,rank,llm_reasoning
AZ4INX21UdMD1-xUqr7X,lib/sqlalchemy/dialects/mssql/pyodbc.py,pyodbc.py,secrets:S6703,Make sure this database password gets changed and removed from the code.,35,VULNERABILITY,30min,HIGH,SECURITY,1,"This is a VULNERABILITY (secrets:S6703) flagging a hardcoded database password in mssql/pyodbc.py, which has a file_security_rating of E. The file was modified 2 days ago with active development (3 commits, 2 authors, 67 churn), meaning the credential exposure is current and in an actively maintained file. Hardcoded credentials represent a direct security risk that should be investigated and remediated immediately."
AZ4INX3_UdMD1-xUqr9w,lib/sqlalchemy/dialects/mysql/base.py,base.py,secrets:S6697,Make sure this MySQL database password gets changed and removed from the code.,218,VULNERABILITY,30min,HIGH,SECURITY,2,"This is a VULNERABILITY (secrets:S6697) flagging a hardcoded MySQL database password in mysql/base.py, which has a file_security_rating of E and 7 file_vulnerabilities. The file is highly active (17 commits, 9 unique authors, 1405 churn, modified 2 days ago), making credential exposure particularly risky. Multiple SATD comments including 'TODO: remove ??' suggest known technical debt in this file."
AZ4INX3_UdMD1-xUqr9x,lib/sqlalchemy/dialects/mysql/base.py,base.py,secrets:S6697,Make sure this MySQL database password gets changed and removed from the code.,323,VULNERABILITY,30min,HIGH,SECURITY,3,"This is a second VULNERABILITY (secrets:S6697) in the same mysql/base.py file with file_security_rating E and 7 file_vulnerabilities. It flags another hardcoded MySQL password at line 323 in a highly active file (17 commits, 9 authors, 1405 churn, modified 2 days ago). Multiple credential exposures in the same file compound the security risk."
AZ4INX3_UdMD1-xUqr9y,lib/sqlalchemy/dialects/mysql/base.py,base.py,secrets:S6697,Make sure this MySQL database password gets changed and removed from the code.,343,VULNERABILITY,30min,HIGH,SECURITY,4,"This is a third VULNERABILITY (secrets:S6697) in mysql/base.py flagging yet another hardcoded MySQL password at line 343. The same high-activity context applies (17 commits, 9 authors, 1405 churn, security rating E). Three hardcoded passwords in one file represent a systemic credential management problem requiring urgent attention."
AZ4INX3_UdMD1-xUqr9l,lib/sqlalchemy/dialects/mysql/base.py,base.py,python:S1515,"Add a parameter to function ""replace"" and use variable ""column"" as its default value;The value of ""column"" might change at the next loop iteration.",1377,CODE_SMELL,30min,MEDIUM,MAINTAINABILITY,5,"This is a CODE_SMELL (python:S1515) in mysql/base.py warning that a lambda captures a loop variable 'column' that may change at the next iteration, which is a classic Python closure bug that can cause incorrect behavior at runtime. The file has 7 vulnerabilities, security rating E, and is extremely active (17 commits, 9 authors, 1405 churn, modified 2 days ago). This type of issue can produce subtle, hard-to-diagnose bugs in production."
AZ4INX42UdMD1-xUqr_Z,lib/sqlalchemy/dialects/oracle/base.py,base.py,python:S3923,Remove this if statement or edit its code blocks so that they're not all the same.,1106,BUG,15min,MEDIUM,RELIABILITY,6,"This is a BUG (python:S3923) in oracle/base.py where all branches of an if statement are identical, indicating dead code or a logic error. The file has a reliability_rating of C (the worst among the input files), file_bugs of 1, and high complexity (cognitive complexity 473). With 7 unique authors and 272 churn in the past year, this is an actively maintained file where a logic error could have real impact."
AZ4INX4mUdMD1-xUqr-v,lib/sqlalchemy/dialects/oracle/cx_oracle.py,cx_oracle.py,python:S3923,Remove this if statement or edit its code blocks so that they're not all the same.,506,BUG,15min,MEDIUM,RELIABILITY,7,"This is a BUG (python:S3923) in oracle/cx_oracle.py where all branches of an if statement are identical, indicating a potential logic error. The file has reliability_rating C, file_bugs of 1, and 9 SATD comments including multiple 'TODO: need to end XA state here' entries suggesting known incomplete transaction handling. Modified 2 days ago with active development (5 commits, 4 authors)."
AZ4INX2yUdMD1-xUqr7H,lib/sqlalchemy/dialects/mssql/pymssql.py,pymssql.py,python:S2836,"Add a ""break"" statement or remove this ""else"" clause.",110,CODE_SMELL,5min,MEDIUM,MAINTAINABILITY,8,"This is a CODE_SMELL (python:S2836) in mssql/pymssql.py flagging a for-else construct where the else clause may be misleading or incorrect without a break statement, which can cause subtle logic bugs. The file has a SATD comment 'TODO: monkeypatching here is less than ideal' and was modified 2 days ago. The cognitive complexity of 16 exceeds the threshold, suggesting the code is already hard to reason about."
AZ4INX4IUdMD1-xUqr-L,lib/sqlalchemy/dialects/mysql/aiomysql.py,aiomysql.py,python:S2638,Add missing parameters _translate_args.,312,CODE_SMELL,15min,HIGH,MAINTAINABILITY,9,"This is a CODE_SMELL (python:S2638) in mysql/aiomysql.py flagging a missing parameter '_translate_args' in a method override, which could cause runtime errors when the method is called with that parameter. The file is actively developed (8 commits, 3 authors, 129 churn, modified 2 days ago). Missing parameters in overrides are a functional correctness concern beyond mere style."
AZ4INX4RUdMD1-xUqr-e,lib/sqlalchemy/dialects/mysql/asyncmy.py,asyncmy.py,python:S2638,Add missing parameters _translate_args.,314,CODE_SMELL,15min,HIGH,MAINTAINABILITY,10,"This is the same rule (python:S2638) in mysql/asyncmy.py flagging a missing parameter '_translate_args' in a method override, mirroring alert 11 in a parallel async driver implementation. The file is actively developed (8 commits, 3 authors, 122 churn, modified 2 days ago). The parallel nature of the issue across two async drivers suggests a systemic problem."
AZ4INX4pUdMD1-xUqr_H,lib/sqlalchemy/dialects/oracle/types.py,types.py,python:S4144,Update this function so that its implementation is not identical to _adapt_from_generic_interval on line 209.,216,CODE_SMELL,15min,MEDIUM,MAINTAINABILITY,11,"This is a CODE_SMELL (python:S4144) in oracle/types.py flagging a function whose implementation is identical to another function, suggesting either a copy-paste error or dead code. With 5 unique authors and 55 churn over the past year, this is a maintained file. Duplicate implementations can diverge unexpectedly and cause maintenance confusion."
AZ4INX28UdMD1-xUqr7l,lib/sqlalchemy/dialects/mssql/base.py,base.py,python:S3776,Refactor this function to reduce its Cognitive Complexity from 20 to the 15 allowed.,2533,CODE_SMELL,10min,HIGH,MAINTAINABILITY,12,"This is a CODE_SMELL (python:S3776) in mssql/base.py flagging a function with cognitive complexity of 20 against a threshold of 15. The file is extremely large (4012 lines, cognitive complexity 409) and highly active (19 commits, 8 authors, 396 churn, modified 2 days ago). High complexity in an actively modified file increases the risk of introducing bugs during maintenance."
AZ4INX54UdMD1-xUqsBJ,lib/sqlalchemy/connectors/pyodbc.py,pyodbc.py,python:S3776,Refactor this function to reduce its Cognitive Complexity from 36 to the 15 allowed.,62,CODE_SMELL,26min,HIGH,MAINTAINABILITY,13,"This is a CODE_SMELL (python:S3776) in the pyodbc connector flagging a function with cognitive complexity of 36 against a threshold of 15, with the file having overall cyclomatic complexity of 40. The SATD comment suggests known assumptions about data types that may be incorrect. With 26 minutes of estimated effort and moderate activity (3 commits, 2 authors), this complex function warrants investigation."
