issue_key,file_path,file,rule,impact_severity,impact_quality,type,message,line,effort,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,sqale_index,lines,reliability_rating,security_rating,commit_count,unique_authors,churn,days_since_modified,satd_count,satd_text,pool_rank,c3_rank,llm_reasoning
AZ4INX21UdMD1-xUqr7X,lib/sqlalchemy/dialects/mssql/pyodbc.py,pyodbc.py,secrets:S6703,HIGH,SECURITY,VULNERABILITY,Make sure this database password gets changed and removed from the code.,35,30min,0.0,1.0,15.0,16.0,65.0,73.0,69.0,746.0,A,E,3,2,67,2,,,7,1,"This is a VULNERABILITY (secrets:S6703) flagging a hardcoded database password in mssql/pyodbc.py, which has a file_security_rating of E. The file was modified 2 days ago with active development (3 commits, 2 authors, 67 churn), meaning the credential exposure is current and in an actively maintained file. Hardcoded credentials represent a direct security risk that should be investigated and remediated immediately."
AZ4INX3_UdMD1-xUqr9w,lib/sqlalchemy/dialects/mysql/base.py,base.py,secrets:S6697,HIGH,SECURITY,VULNERABILITY,Make sure this MySQL database password gets changed and removed from the code.,218,30min,0.0,7.0,13.0,20.0,391.0,384.0,113.0,3450.0,A,E,17,9,1405,2,3.0,that hits each backend and maybe make a requires rule for it? | TODO: remove ?? | is very slow since mysql does not seem able to properly use indexse.,15,2,"This is a VULNERABILITY (secrets:S6697) flagging a hardcoded MySQL database password in mysql/base.py, which has a file_security_rating of E and 7 file_vulnerabilities. The file is highly active (17 commits, 9 unique authors, 1405 churn, modified 2 days ago), making credential exposure particularly risky. Multiple SATD comments including 'TODO: remove ??' suggest known technical debt in this file."
AZ4INX3_UdMD1-xUqr9x,lib/sqlalchemy/dialects/mysql/base.py,base.py,secrets:S6697,HIGH,SECURITY,VULNERABILITY,Make sure this MySQL database password gets changed and removed from the code.,323,30min,0.0,7.0,13.0,20.0,391.0,384.0,113.0,3450.0,A,E,17,9,1405,2,3.0,that hits each backend and maybe make a requires rule for it? | TODO: remove ?? | is very slow since mysql does not seem able to properly use indexse.,16,3,"This is a second VULNERABILITY (secrets:S6697) in the same mysql/base.py file with file_security_rating E and 7 file_vulnerabilities. It flags another hardcoded MySQL password at line 323 in a highly active file (17 commits, 9 authors, 1405 churn, modified 2 days ago). Multiple credential exposures in the same file compound the security risk."
AZ4INX3_UdMD1-xUqr9y,lib/sqlalchemy/dialects/mysql/base.py,base.py,secrets:S6697,HIGH,SECURITY,VULNERABILITY,Make sure this MySQL database password gets changed and removed from the code.,343,30min,0.0,7.0,13.0,20.0,391.0,384.0,113.0,3450.0,A,E,17,9,1405,2,3.0,that hits each backend and maybe make a requires rule for it? | TODO: remove ?? | is very slow since mysql does not seem able to properly use indexse.,17,4,"This is a third VULNERABILITY (secrets:S6697) in mysql/base.py flagging yet another hardcoded MySQL password at line 343. The same high-activity context applies (17 commits, 9 authors, 1405 churn, security rating E). Three hardcoded passwords in one file represent a systemic credential management problem requiring urgent attention."
AZ4INX3_UdMD1-xUqr9l,lib/sqlalchemy/dialects/mysql/base.py,base.py,python:S1515,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Add a parameter to function ""replace"" and use variable ""column"" as its default value;The value of ""column"" might change at the next loop iteration.",1377,30min,0.0,7.0,13.0,20.0,391.0,384.0,113.0,3450.0,A,E,17,9,1405,2,3.0,that hits each backend and maybe make a requires rule for it? | TODO: remove ?? | is very slow since mysql does not seem able to properly use indexse.,22,5,"This is a CODE_SMELL (python:S1515) in mysql/base.py warning that a lambda captures a loop variable 'column' that may change at the next iteration, which is a classic Python closure bug that can cause incorrect behavior at runtime. The file has 7 vulnerabilities, security rating E, and is extremely active (17 commits, 9 authors, 1405 churn, modified 2 days ago). This type of issue can produce subtle, hard-to-diagnose bugs in production."
AZ4INX42UdMD1-xUqr_Z,lib/sqlalchemy/dialects/oracle/base.py,base.py,python:S3923,MEDIUM,RELIABILITY,BUG,Remove this if statement or edit its code blocks so that they're not all the same.,1106,15min,1.0,0.0,11.0,12.0,400.0,473.0,208.0,3273.0,C,A,7,7,272,54,3.0,"technically, this could be supported, but as it would be | This type seems to be very hard to cast into something else | outerjoin + where null works better on oracle 21 but 11 does",29,6,"This is a BUG (python:S3923) in oracle/base.py where all branches of an if statement are identical, indicating dead code or a logic error. The file has a reliability_rating of C (the worst among the input files), file_bugs of 1, and high complexity (cognitive complexity 473). With 7 unique authors and 272 churn in the past year, this is an actively maintained file where a logic error could have real impact."
AZ4INX4mUdMD1-xUqr-v,lib/sqlalchemy/dialects/oracle/cx_oracle.py,cx_oracle.py,python:S3923,MEDIUM,RELIABILITY,BUG,Remove this if statement or edit its code blocks so that they're not all the same.,506,15min,1.0,0.0,21.0,22.0,163.0,186.0,113.0,1484.0,C,A,5,4,98,2,9.0,TODO: the names used across CHAR / VARCHAR / NCHAR / NVARCHAR | here are inconsistent and not very good | take care of reserved words | TODO: we could likely do away with quoting altogether for | this is the only way to ensure a transaction is started without | TODO: Others ? | TODO: others? | TODO: need to end XA state here | TODO: need to end XA state here,30,7,"This is a BUG (python:S3923) in oracle/cx_oracle.py where all branches of an if statement are identical, indicating a potential logic error. The file has reliability_rating C, file_bugs of 1, and 9 SATD comments including multiple 'TODO: need to end XA state here' entries suggesting known incomplete transaction handling. Modified 2 days ago with active development (5 commits, 4 authors)."
AZ4INX2yUdMD1-xUqr7H,lib/sqlalchemy/dialects/mssql/pymssql.py,pymssql.py,python:S2836,MEDIUM,MAINTAINABILITY,CODE_SMELL,"Add a ""break"" statement or remove this ""else"" clause.",110,5min,0.0,0.0,5.0,5.0,18.0,16.0,20.0,127.0,A,A,2,2,3,2,1.0,TODO: monkeypatching here is less than ideal,19,8,"This is a CODE_SMELL (python:S2836) in mssql/pymssql.py flagging a for-else construct where the else clause may be misleading or incorrect without a break statement, which can cause subtle logic bugs. The file has a SATD comment 'TODO: monkeypatching here is less than ideal' and was modified 2 days ago. The cognitive complexity of 16 exceeds the threshold, suggesting the code is already hard to reason about."
AZ4INX4IUdMD1-xUqr-L,lib/sqlalchemy/dialects/mysql/aiomysql.py,aiomysql.py,python:S2638,HIGH,MAINTAINABILITY,CODE_SMELL,Add missing parameters _translate_args.,312,15min,0.0,0.0,16.0,16.0,54.0,16.0,64.0,334.0,A,A,8,3,129,2,,,11,9,"This is a CODE_SMELL (python:S2638) in mysql/aiomysql.py flagging a missing parameter '_translate_args' in a method override, which could cause runtime errors when the method is called with that parameter. The file is actively developed (8 commits, 3 authors, 129 churn, modified 2 days ago). Missing parameters in overrides are a functional correctness concern beyond mere style."
AZ4INX4RUdMD1-xUqr-e,lib/sqlalchemy/dialects/mysql/asyncmy.py,asyncmy.py,python:S2638,HIGH,MAINTAINABILITY,CODE_SMELL,Add missing parameters _translate_args.,314,15min,0.0,0.0,14.0,14.0,55.0,19.0,72.0,338.0,A,A,8,3,122,2,,,14,10,"This is the same rule (python:S2638) in mysql/asyncmy.py flagging a missing parameter '_translate_args' in a method override, mirroring alert 11 in a parallel async driver implementation. The file is actively developed (8 commits, 3 authors, 122 churn, modified 2 days ago). The parallel nature of the issue across two async drivers suggests a systemic problem."
